Experiment,FeatureSet,LookBack,Architecture,LR,BatchSize,Epochs,ActualEpochs,Dropout,Train_RMSE,Train_MAPE%,Test_RMSE,Test_MAE,Test_MAPE%,DirAcc%,Time_s
Baseline,CloseOnly,100,"[128, 64]",0.001,32,150,41,0.2,9.5445,1.25,40.0721,31.8233,1.75,22.2,9.8
Exp1-LB60,CloseOnly,60,"[128, 64]",0.001,32,150,53,0.2,9.1761,1.24,40.4721,32.99,1.81,22.2,12.7
Exp1-LB90,CloseOnly,90,"[128, 64]",0.001,32,150,26,0.2,9.6199,1.27,40.5856,33.2801,1.83,22.2,5.9
Exp1-LB120,CloseOnly,120,"[128, 64]",0.001,32,150,38,0.2,9.7486,1.26,40.6111,33.3449,1.83,22.2,9.3
Exp2-64_32,CloseOnly,100,"[64, 32]",0.001,32,150,31,0.2,9.6,1.26,40.4508,32.9314,1.81,22.2,7.4
Exp2-256_128,CloseOnly,100,"[256, 128]",0.001,32,150,26,0.2,9.4852,1.23,39.861,31.073,1.71,22.2,12.0
Exp2-128_64_32,CloseOnly,100,"[128, 64, 32]",0.001,32,150,45,0.2,9.6538,1.27,40.9285,34.0887,1.87,22.2,13.0
Exp2-256_128_64,CloseOnly,100,"[256, 128, 64]",0.001,32,150,35,0.2,9.6138,1.26,41.0037,34.2548,1.88,22.2,17.8
Exp3-LR0.0005,CloseOnly,100,"[128, 64]",0.0005,32,150,41,0.2,9.7206,1.3,40.876,33.9706,1.87,22.2,10.2
Exp3-LR0.005,CloseOnly,100,"[128, 64]",0.005,32,150,44,0.2,9.6056,1.26,40.9213,34.0732,1.87,22.2,10.2
Exp3-BS16,CloseOnly,100,"[128, 64]",0.001,16,150,32,0.2,9.6247,1.26,41.1375,34.5405,1.9,22.2,14.8
Exp3-BS64,CloseOnly,100,"[128, 64]",0.001,64,150,40,0.2,9.5553,1.25,40.1354,32.0255,1.76,22.2,5.0
Exp3-Ep100,CloseOnly,100,"[128, 64]",0.001,32,100,41,0.2,9.5445,1.25,40.0721,31.8233,1.75,22.2,9.6
Exp4-Drop0.1,CloseOnly,100,"[128, 64]",0.001,32,150,41,0.1,9.588,1.27,40.2398,32.3434,1.78,22.2,9.4
Exp4-Drop0.3,CloseOnly,100,"[128, 64]",0.001,32,150,50,0.3,9.6269,1.26,41.0502,34.3552,1.89,22.2,12.3
Feat-TechCore,TechCore,100,"[128, 64]",0.001,32,150,55,0.2,9.5335,1.23,41.0159,34.2759,1.88,22.2,12.7
Feat-TechEnhanced,TechEnhanced,100,"[128, 64]",0.001,32,150,27,0.2,9.5133,1.23,40.1538,32.0736,1.76,22.2,6.6
